symptom,dosha,description,herbal_remedy,diet_recommendation,yoga_recommendation,lifestyle_advice
anxiety,vata,Excessive worry and nervousness due to vata imbalance,ashwagandha,warm cooked foods with ghee and sesame oil,nadi shodhana pranayama,maintain a consistent daily routine
anxiety,vata,Restless mind and inability to relax,brahmi,warm milk with nutmeg before bed,child pose (balasana),practice oil massage (abhyanga) with sesame oil
anxiety,vata,Fear and panic attacks from aggravated vata,jatamansi,avoid cold raw foods and caffeine,yoga nidra,go to bed by 10 PM every night
anxiety,pitta,Anxiety driven by perfectionism and anger,brahmi,cooling foods like cucumber and coconut water,sheetali pranayama,avoid overworking and competitive environments
anxiety,pitta,Intense worry with irritability and frustration,shatavari,sweet juicy fruits and leafy greens,moon salutation (chandra namaskar),spend time near water or in moonlight
anxiety,kapha,Anxiety with emotional heaviness and attachment,tulsi,light warm spiced foods,kapalabhati pranayama,engage in vigorous morning exercise
anxiety,kapha,Worry accompanied by lethargy and withdrawal,guggulu,reduce dairy and heavy sweets,sun salutation (surya namaskar),wake before sunrise and stay active
insomnia,vata,Difficulty falling asleep due to racing thoughts,ashwagandha,warm milk with cardamom and nutmeg,legs up the wall pose (viparita karani),oil massage on feet before bed with sesame oil
insomnia,vata,Light interrupted sleep with vivid dreams,tagara,avoid stimulants after 2 PM,yoga nidra,establish a calming bedtime ritual
insomnia,vata,Waking up frequently during the night,jatamansi,warm soupy dinner before 7 PM,savasana with guided relaxation,keep bedroom warm and avoid screens before bed
insomnia,pitta,Inability to sleep due to mental overactivity,brahmi,cooling herbal tea with chamomile,sheetali pranayama before bed,sleep in a cool dark room
insomnia,pitta,Waking up between 2-4 AM with heat,shatavari,avoid spicy and fermented foods at dinner,forward fold (uttanasana),apply coconut oil to the scalp before bed
insomnia,kapha,Excessive sleep but still feeling unrested,tulsi,light dinner with ginger tea,bhastrika pranayama,exercise in the evening to improve sleep quality
insomnia,kapha,Difficulty waking up and heavy morning feeling,trikatu,avoid heavy meals after sunset,standing forward bend,set a consistent wake time before 6 AM
acidity,pitta,Burning sensation in stomach and chest,shatavari,cooling foods like coconut and coriander,sheetali pranayama,avoid eating when angry or stressed
acidity,pitta,Acid reflux with sour taste in mouth,amla,drink aloe vera juice on empty stomach,seated forward bend (paschimottanasana),eat meals at regular times
acidity,pitta,Heartburn after meals with nausea,licorice,avoid citrus tomatoes and vinegar,restorative fish pose,chew fennel seeds after meals
acidity,pitta,Gastritis with sharp abdominal pain,avipattikar churna,bland cooling diet with rice and moong dal,supine twist (supta matsyendrasana),never skip meals or overeat
acidity,vata,Irregular acidity with bloating and gas,hingvastak churna,warm easily digestible foods with cumin,wind relieving pose (pawanmuktasana),eat in a calm relaxed environment
acidity,kapha,Slow digestion with mild acid and mucus,trikatu,avoid heavy oily foods and dairy,bow pose (dhanurasana),walk for 15 minutes after meals
digestive_problems,vata,Irregular appetite and variable digestion,hingvastak churna,warm cooked foods with digestive spices,wind relieving pose (pawanmuktasana),eat at regular times in a calm setting
digestive_problems,vata,Bloating gas and abdominal distension,ajwain,avoid raw salads and cold beverages,seated spinal twist (ardha matsyendrasana),sip warm water throughout the day
digestive_problems,vata,Constipation with hard dry stools,triphala,include ghee and warm fluids in diet,malasana (garland pose),drink warm water with lemon on waking
digestive_problems,vata,Gurgling stomach with erratic bowel movements,ginger,small frequent warm meals with cumin and fennel,cat-cow pose (marjaryasana),establish consistent meal times
digestive_problems,pitta,Hyperacidity and loose burning stools,kutki,cooling bland diet with coriander and fennel,cooling pranayama (sheetali),avoid spicy fried and fermented foods
digestive_problems,pitta,Excessive hunger with quick digestion,amalaki,sweet bitter and astringent tastes,half spinal twist,eat at moderate pace without rushing
digestive_problems,pitta,Diarrhea with burning sensation,bilva,pomegranate juice and rice water,supine butterfly pose,avoid alcohol and coffee
digestive_problems,kapha,Sluggish digestion with heaviness after meals,trikatu,light warm meals with black pepper and ginger,boat pose (navasana),avoid snacking between meals
digestive_problems,kapha,Loss of appetite with nausea,chitrak,fasting or light khichdi diet,agni sara kriya,eat largest meal at noon
digestive_problems,kapha,Mucus in stool with slow metabolism,punarnava,reduce wheat dairy and sugar,twisted chair pose,drink warm ginger water before meals
fatigue,vata,Chronic tiredness with restlessness,ashwagandha,warm nourishing foods with ghee and nuts,yoga nidra,get 7-8 hours of sleep every night
fatigue,vata,Low energy with inability to concentrate,brahmi,dates almonds and warm milk,gentle sun salutation,practice daily oil massage with sesame oil
fatigue,vata,Nervous exhaustion from overactivity,shatavari,sweet grounding foods like sweet potato,legs up the wall pose (viparita karani),take short rest breaks during the day
fatigue,pitta,Burnout from overwork and intensity,shatavari,cooling sweet foods like coconut and melon,restorative bridge pose,take breaks from work and avoid midday sun
fatigue,pitta,Mental exhaustion with irritability,brahmi,fresh fruit juices and herbal teas,supported child pose,reduce screen time and competitive activities
fatigue,pitta,Depleted energy from excessive heat,guduchi,bitter greens and cooling spices like fennel,savasana with cooling eye pillow,spend time in nature near water
fatigue,kapha,Heavy fatigue with oversleeping,guggulu,light warm spiced foods with honey,kapalabhati pranayama,exercise vigorously every morning
fatigue,kapha,Daytime drowsiness and lack of motivation,punarnava,avoid heavy meals especially breakfast,sun salutation at pace,wake before 6 AM and avoid daytime naps
fatigue,kapha,Sluggish energy with weight gain,shilajit,reduce carbs and increase bitter vegetables,warrior pose sequence,take cold showers in the morning
