symptom_1,symptom_2,symptom_3,symptom_4,disease,ayurvedic_remedy,recommended_herbs,diet_recommendation
high_temperature,body_ache,chills,fatigue,Fever,Tulsi tea and turmeric milk with rest,Tulsi;Ginger;Turmeric,Warm fluids and light khichdi
high_temperature,headache,sweating,weakness,Fever,Giloy kashayam and adequate hydration,Giloy;Tulsi;Neem,Light soups and herbal teas
high_temperature,loss_of_appetite,body_ache,sweating,Fever,Sudarshan churna with warm water,Sudarshan;Tulsi;Giloy,Avoid heavy and oily food
high_temperature,chills,sore_throat,fatigue,Fever,Tulsi ginger tea and steam inhalation,Tulsi;Ginger;Black Pepper,Warm liquids and moong dal soup
high_temperature,muscle_pain,headache,chills,Fever,Giloy juice and turmeric milk,Giloy;Turmeric;Ashwagandha,Rest with warm herbal fluids
body_ache,high_temperature,weakness,nausea,Fever,Tribhuvankirti ras with honey,Tribhuvankirti;Tulsi;Ginger,Light vegetable broth and rice
high_temperature,fatigue,joint_pain,sweating,Fever,Mahasudarshan churna with warm water,Mahasudarshan;Giloy;Neem,Avoid dairy and eat light meals
high_temperature,loss_of_appetite,chills,cough,Fever,Sitopaladi churna and honey,Sitopaladi;Tulsi;Pippali,Warm soups and avoid cold foods
sweating,body_ache,high_temperature,dizziness,Fever,Amritarishta tonic after meals,Amritarishta;Giloy;Guduchi,Stay hydrated with electrolyte drinks
high_temperature,sore_throat,body_ache,headache,Fever,Khadiradi vati and tulsi decoction,Khadiradi;Tulsi;Yashtimadhu,Soft warm foods only
chills,fatigue,high_temperature,loss_of_appetite,Fever,Giloy satva with warm milk,Giloy;Ashwagandha;Shatavari,Easy to digest meals and rest
high_temperature,nausea,headache,fatigue,Fever,Tulsi drops in warm water with honey,Tulsi;Ginger;Lemon,Avoid fried food and eat fruits
body_ache,sweating,weakness,high_temperature,Fever,Rest with triphala kashayam,Triphala;Giloy;Haritaki,Light dal and steamed vegetables
high_temperature,cough,runny_nose,fatigue,Fever,Talisadi churna with warm milk,Talisadi;Pippali;Ginger,Avoid cold items and dairy
high_temperature,body_ache,dizziness,chills,Fever,Mahasudarshan ghanvati tablets,Mahasudarshan;Giloy;Tulsi,Drink warm water throughout the day
headache,chills,high_temperature,muscle_pain,Fever,Jwarnashak kwath decoction,Tulsi;Giloy;Sunthi,Light porridge and warm soups
high_temperature,sore_throat,weakness,sweating,Fever,Vyoshadi vati and warm saline gargle,Vyoshadi;Yashtimadhu;Tulsi,Warm fluids and avoid spicy food
high_temperature,loss_of_appetite,nausea,body_ache,Fever,Chitrakadi vati with buttermilk,Chitrakadi;Ginger;Tulsi,Small frequent meals
high_temperature,fatigue,runny_nose,cough,Fever,Trikatu churna with honey,Trikatu;Pippali;Maricha,Warm ginger lemon water
sweating,high_temperature,muscle_pain,weakness,Fever,Guduchi satva with warm water,Guduchi;Ashwagandha;Shatavari,Lukewarm water and boiled rice
high_temperature,body_ache,headache,loss_of_appetite,Fever,Mrityunjay ras with honey,Mrityunjay;Giloy;Tulsi,Avoid raw food and eat cooked warm meals
high_temperature,chills,dizziness,sore_throat,Fever,Sudarshan ghanvati with warm water,Sudarshan;Ginger;Tulsi,Warm vegetable broth and herbal tea
body_ache,fatigue,high_temperature,cough,Fever,Panchagavya ghrita internally,Panchagavya;Tulsi;Giloy,Hot soupy meals and rest
high_temperature,weakness,sweating,runny_nose,Fever,Sitopaladi with warm milk,Sitopaladi;Pippali;Ginger,Avoid heavy meals
high_temperature,headache,nausea,muscle_pain,Fever,Laghu malini vasant ras,Laghu Malini;Giloy;Tulsi,Light warm porridge
high_temperature,fatigue,body_ache,loss_of_appetite,Fever,Amritarishta after meals,Amritarishta;Giloy;Neem,Moong dal soup and warm rice
high_temperature,chills,cough,body_ache,Fever,Sitopaladi churna with honey,Sitopaladi;Trikatu;Tulsi,Warm fluids only
high_temperature,sweating,sore_throat,weakness,Fever,Tulsi ginger kadha,Tulsi;Ginger;Black Pepper,Light meals and rest
high_temperature,muscle_pain,loss_of_appetite,nausea,Fever,Giloy ghanvati tablets,Giloy;Guduchi;Ashwagandha,Avoid cold and oily food
high_temperature,dizziness,fatigue,headache,Fever,Chandraprabha vati with water,Chandraprabha;Giloy;Tulsi,Light food and frequent water intake
runny_nose,sneezing,sore_throat,congestion,Cold,Trikatu churna with honey and warm water,Trikatu;Ginger;Tulsi,Avoid cold foods and dairy products
sneezing,congestion,cough,fatigue,Cold,Steam inhalation with eucalyptus and tulsi tea,Tulsi;Eucalyptus;Pippali,Warm soups and avoid ice cream
runny_nose,headache,sneezing,body_ache,Cold,Sitopaladi churna with honey,Sitopaladi;Trikatu;Ginger,Warm ginger tea and light meals
congestion,sore_throat,fatigue,sneezing,Cold,Yashtimadhu gargle and tulsi drops,Yashtimadhu;Tulsi;Mulethi,Avoid sour and cold foods
cough,runny_nose,sneezing,weakness,Cold,Talisadi churna with warm water,Talisadi;Pippali;Sitopladi,Hot herbal teas and khichdi
sneezing,watery_eyes,congestion,sore_throat,Cold,Laxmi vilas ras with honey,Laxmi Vilas;Tulsi;Ginger,Warm fluids and turmeric milk
runny_nose,body_ache,headache,congestion,Cold,Tribhuvankirti ras and steam therapy,Tribhuvankirti;Ginger;Pippali,Avoid heavy meals and eat soups
congestion,cough,sneezing,chills,Cold,Kantakari avaleha with warm milk,Kantakari;Ginger;Tulsi,Warm porridge and herbal decoctions
runny_nose,fatigue,sore_throat,sneezing,Cold,Agastya haritaki avaleha,Agastya;Haritaki;Pippali,Hot water with honey and lemon
sneezing,congestion,headache,cough,Cold,Vyoshadi vati and nasal drops,Vyoshadi;Tulsi;Eucalyptus,Freshly cooked warm meals only
sore_throat,sneezing,runny_nose,watery_eyes,Cold,Khadiradi vati and steam inhalation,Khadiradi;Yashtimadhu;Tulsi,Avoid refrigerated items
congestion,body_ache,cough,runny_nose,Cold,Chitrak haritaki with warm milk,Chitrak;Haritaki;Ginger,Hot soups and avoid bananas
sneezing,fatigue,congestion,headache,Cold,Lavangadi vati and tulsi tea,Lavangadi;Tulsi;Clove,Warm spiced foods
runny_nose,cough,sore_throat,chills,Cold,Trikatu with honey three times daily,Trikatu;Maricha;Pippali,Avoid yogurt and cold drinks
congestion,sneezing,weakness,watery_eyes,Cold,Anu taila nasal drops and steam,Anu Taila;Tulsi;Ginger,Light warm meals
sore_throat,congestion,cough,fatigue,Cold,Sitopaladi churna with ghee,Sitopaladi;Yashtimadhu;Tulsi,Warm milk with turmeric
sneezing,runny_nose,body_ache,chills,Cold,Sudarshan churna with warm water,Sudarshan;Giloy;Ginger,Hot vegetable soup and rest
